"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - март 2018 г.)"
"Республика Крым","3_11","Установлено лиц из числа находившихся в розыске",1982
"Республика Крым","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1962
"Республика Крым","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",14
"Республика Крым","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",115
"Республика Крым","3_11","Всего прекращено дел в связи с установлением личности",9
"Республика Крым","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-"
"Республика Крым","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-"
"г. Севастополь","3_11","Всего разыскивалось лиц",206
"г. Севастополь","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",182
"г. Севастополь","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",18
"г. Севастополь","3_11","Установлено лиц из числа находившихся в розыске",41
"г. Севастополь","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",36
"г. Севастополь","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",0
"г. Севастополь","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",15
"г. Севастополь","3_11","Всего прекращено дел в связи с установлением личности",1
"г. Севастополь","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-"
"г. Севастополь","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-"
"Приволжский фед.округ","3_11","Всего разыскивалось лиц",16174
"Приволжский фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",7620
"Приволжский фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",8182
"Приволжский фед.округ","3_11","Установлено лиц из числа находившихся в розыске",4582
"Приволжский фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",2616
"Приволжский фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1671
"Приволжский фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",1731
"Приволжский фед.округ","3_11","Всего прекращено дел в связи с установлением личности",104
"Приволжский фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-46,71760654"
"Приволжский фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-21,47766323"
"Республика Башкортостан","3_11","Всего разыскивалось лиц",1684
"Республика Башкортостан","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",831
"Республика Башкортостан","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",831
"Республика Башкортостан","3_11","Установлено лиц из числа находившихся в розыске",318
"Республика Башкортостан","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",260
"Республика Башкортостан","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",47
"Республика Башкортостан","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",232
"Республика Башкортостан","3_11","Всего прекращено дел в связи с установлением личности",6
"Республика Башкортостан","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-43,39622642"
"Республика Башкортостан","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-12,05510907"
"Республика Марий Эл","3_11","Всего разыскивалось лиц",362
"Республика Марий Эл","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",142
"Республика Марий Эл","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",220
"Республика Марий Эл","3_11","Установлено лиц из числа находившихся в розыске",137
"Республика Марий Эл","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",70
"Республика Марий Эл","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",67
"Республика Марий Эл","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",49
"Республика Марий Эл","3_11","Всего прекращено дел в связи с установлением личности",6
"Республика Марий Эл","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-58,23529412"
"Республика Марий Эл","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-15,55555556"
"Республика Мордовия","3_11","Всего разыскивалось лиц",483
"Республика Мордовия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",248
"Республика Мордовия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",235
"Республика Мордовия","3_11","Установлено лиц из числа находившихся в розыске",201
"Республика Мордовия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",121
"Республика Мордовия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",80
"Республика Мордовия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",26
"Республика Мордовия","3_11","Всего прекращено дел в связи с установлением личности",2
"Республика Мордовия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-39,81042654"
"Республика Мордовия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","1,307189542"
"Республика Татарстан","3_11","Всего разыскивалось лиц",2371
"Республика Татарстан","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",954
"Республика Татарстан","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1384
"Республика Татарстан","3_11","Установлено лиц из числа находившихся в розыске",1139
"Республика Татарстан","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",344
"Республика Татарстан","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",775
"Республика Татарстан","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",110
"Республика Татарстан","3_11","Всего прекращено дел в связи с установлением личности",3
"Республика Татарстан","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-41,187926"
"Республика Татарстан","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-22,4516129"
"Удмуртская Республика","3_11","Всего разыскивалось лиц",714
"Удмуртская Республика","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",296
"Удмуртская Республика","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",398
"Удмуртская Республика","3_11","Установлено лиц из числа находившихся в розыске",121
"Удмуртская Республика","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",101
"Удмуртская Республика","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",9
"Удмуртская Республика","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",64
"Удмуртская Республика","3_11","Всего прекращено дел в связи с установлением личности",5
"Удмуртская Республика","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-40,36697248"
"Удмуртская Республика","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-17,88793103"
"Чувашская Республика","3_11","Всего разыскивалось лиц",527
"Чувашская Республика","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",356
"Чувашская Республика","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",169
"Чувашская Республика","3_11","Установлено лиц из числа находившихся в розыске",158
"Чувашская Республика","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",150
"Чувашская Республика","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",6
"Чувашская Республика","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",42
"Чувашская Республика","3_11","Всего прекращено дел в связи с установлением личности",2
"Чувашская Республика","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-47,42268041"
"Чувашская Республика","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-4,142011834"
"Кировская область","3_11","Всего разыскивалось лиц",1178
"Кировская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",355
"Кировская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",722
"Кировская область","3_11","Установлено лиц из числа находившихся в розыске",556
"Кировская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",153
"Кировская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",305
"Кировская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",36
"Кировская область","3_11","Всего прекращено дел в связи с установлением личности",1
"Кировская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-36,50793651"
"Кировская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-15,30612245"
"Нижегородская область","3_11","Всего разыскивалось лиц",1816
"Нижегородская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",761
"Нижегородская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1030
"Нижегородская область","3_11","Установлено лиц из числа находившихся в розыске",292
"Нижегородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",242
"Нижегородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",31
"Нижегородская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",229
"Нижегородская область","3_11","Всего прекращено дел в связи с установлением личности",16
"Нижегородская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-45,69327731"
"Нижегородская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-18,59504132"
"Оренбургская область","3_11","Всего разыскивалось лиц",776
"Оренбургская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",428
"Оренбургская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",348
"Оренбургская область","3_11","Установлено лиц из числа находившихся в розыске",137
"Оренбургская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",129
"Оренбургская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",8
"Оренбургская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",58
"Оренбургская область","3_11","Всего прекращено дел в связи с установлением личности",3
"Оренбургская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-55,72065379"
"Оренбургская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-43,41216216"
"Пензенская область","3_11","Всего разыскивалось лиц",597
"Пензенская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",251
"Пензенская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",343
"Пензенская область","3_11","Установлено лиц из числа находившихся в розыске",92
"Пензенская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",73
"Пензенская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",16
"Пензенская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",134
"Пензенская область","3_11","Всего прекращено дел в связи с установлением личности",4
"Пензенская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-34,92647059"
"Пензенская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-13,26259947"
"Пермский край","3_11","Всего разыскивалось лиц",1789
"Пермский край","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1046
"Пермский край","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",708
"Пермский край","3_11","Установлено лиц из числа находившихся в розыске",484
"Пермский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",400
"Пермский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",63
"Пермский край","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",164
"Пермский край","3_11","Всего прекращено дел в связи с установлением личности",13
"Пермский край","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-48
"Пермский край","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-51,61290323"
"Самарская область","3_11","Всего разыскивалось лиц",1707
"Самарская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",943
"Самарская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",670
"Самарская область","3_11","Установлено лиц из числа находившихся в розыске",384
"Самарская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",266
"Самарская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",41
"Самарская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",326
"Самарская область","3_11","Всего прекращено дел в связи с установлением личности",11
"Самарская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-61,2565445"
"Самарская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-24,32098765"
"Саратовская область","3_11","Всего разыскивалось лиц",1626
"Саратовская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",804
"Саратовская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",787
"Саратовская область","3_11","Установлено лиц из числа находившихся в розыске",490
"Саратовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",247
"Саратовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",211
"Саратовская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",219
"Саратовская область","3_11","Всего прекращено дел в связи с установлением личности",31
"Саратовская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-31,34517766"
"Саратовская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-9,135399674"
"Ульяновская область","3_11","Всего разыскивалось лиц",544
"Ульяновская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",205
"Ульяновская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",337
"Ульяновская область","3_11","Установлено лиц из числа находившихся в розыске",73
"Ульяновская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",60
"Ульяновская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",12
"Ульяновская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",42
"Ульяновская область","3_11","Всего прекращено дел в связи с установлением личности",1
"Ульяновская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-33,94495413"
"Ульяновская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","124,6478873"
"Уральский фед.округ","3_11","Всего разыскивалось лиц",8182
"Уральский фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",4660
"Уральский фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3457
"Уральский фед.округ","3_11","Установлено лиц из числа находившихся в розыске",1639
"Уральский фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1503
"Уральский фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",85
"Уральский фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",1323
"Уральский фед.округ","3_11","Всего прекращено дел в связи с установлением личности",56
"Уральский фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-48,67343596"
"Уральский фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-12,16750066"
"Курганская область","3_11","Всего разыскивалось лиц",654
"Курганская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",325
"Курганская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",323
"Курганская область","3_11","Установлено лиц из числа находившихся в розыске",115
"Курганская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",99
"Курганская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",11
"Курганская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",76
"Курганская область","3_11","Всего прекращено дел в связи с установлением личности",2
"Курганская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-51,08225108"
"Курганская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-14,68144044"
"Свердловская область","3_11","Всего разыскивалось лиц",2826
"Свердловская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1533
"Свердловская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1255
"Свердловская область","3_11","Установлено лиц из числа находившихся в розыске",532
"Свердловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",460
"Свердловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",40
"Свердловская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",575
"Свердловская область","3_11","Всего прекращено дел в связи с установлением личности",16
"Свердловская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-55,875"
"Свердловская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-16,78176796"
"Тюменская область (с а/о)","3_11","Всего разыскивалось лиц",2798
"Тюменская область (с а/о)","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1725
"Тюменская область (с а/о)","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1071
"Тюменская область (с а/о)","3_11","Установлено лиц из числа находившихся в розыске",471
"Тюменская область (с а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",457
"Тюменская область (с а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",13
"Тюменская область (с а/о)","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",349
"Тюменская область (с а/о)","3_11","Всего прекращено дел в связи с установлением личности",11
"Тюменская область (с а/о)","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-38,67054828"
"Тюменская область (с а/о)","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-13,56073211"
"  Тюменская обл. (без а/о)","3_11","Всего разыскивалось лиц",1039
"  Тюменская обл. (без а/о)","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",579
"  Тюменская обл. (без а/о)","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",460
"  Тюменская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске",151
"  Тюменская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",144
"  Тюменская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",7
"  Тюменская обл. (без а/о)","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",288
"  Тюменская обл. (без а/о)","3_11","Всего прекращено дел в связи с установлением личности",6
"  Тюменская обл. (без а/о)","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-39,41093969"
"  Тюменская обл. (без а/о)","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-11,89083821"
"  Ханты-Мансийский АО - Югра","3_11","Всего разыскивалось лиц",1258
"  Ханты-Мансийский АО - Югра","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",834
"  Ханты-Мансийский АО - Югра","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",423
"  Ханты-Мансийский АО - Югра","3_11","Установлено лиц из числа находившихся в розыске",264
"  Ханты-Мансийский АО - Югра","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",259
"  Ханты-Мансийский АО - Югра","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",4
"  Ханты-Мансийский АО - Югра","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",39
"  Ханты-Мансийский АО - Югра","3_11","Всего прекращено дел в связи с установлением личности",5
"  Ханты-Мансийский АО - Югра","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-42,07870838"
"  Ханты-Мансийский АО - Югра","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-14,04255319"
"  Ямало-Ненецкий АО","3_11","Всего разыскивалось лиц",501
"  Ямало-Ненецкий АО","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",312
"  Ямало-Ненецкий АО","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",188
"  Ямало-Ненецкий АО","3_11","Установлено лиц из числа находившихся в розыске",56
"  Ямало-Ненецкий АО","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",54
"  Ямало-Ненецкий АО","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",2
"  Ямало-Ненецкий АО","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",22
"  Ямало-Ненецкий АО","3_11","Всего прекращено дел в связи с установлением личности",0
"  Ямало-Ненецкий АО","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-27,73109244"
"  Ямало-Ненецкий АО","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-16,43835616"
"Челябинская область","3_11","Всего разыскивалось лиц",1904
"Челябинская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1077
"Челябинская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",808
"Челябинская область","3_11","Установлено лиц из числа находившихся в розыске",521
