"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - сентябрь 2016 г.)"
"Республика Крым","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",549
"Республика Крым","3_11","Установлено лиц из числа находившихся в розыске",1227
"Республика Крым","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1144
"Республика Крым","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",73
"Республика Крым","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",203
"Республика Крым","3_11","Всего прекращено дел в связи с установлением личности",30
"Республика Крым","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-"
"Республика Крым","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-"
"г. Севастополь","3_11","Всего разыскивалось лиц",480
"г. Севастополь","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",357
"г. Севастополь","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",116
"г. Севастополь","3_11","Установлено лиц из числа находившихся в розыске",224
"г. Севастополь","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",197
"г. Севастополь","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",24
"г. Севастополь","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",32
"г. Севастополь","3_11","Всего прекращено дел в связи с установлением личности",14
"г. Севастополь","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-"
"г. Севастополь","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-"
"Приволжский фед.округ","3_11","Всего разыскивалось лиц",31296
"Приволжский фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",15722
"Приволжский фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",14270
"Приволжский фед.округ","3_11","Установлено лиц из числа находившихся в розыске",17909
"Приволжский фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",9691
"Приволжский фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",7065
"Приволжский фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",2719
"Приволжский фед.округ","3_11","Всего прекращено дел в связи с установлением личности",540
"Приволжский фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-38.64572048
"Приволжский фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-15.30156366
"Республика Башкортостан","3_11","Всего разыскивалось лиц",2554
"Республика Башкортостан","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1531
"Республика Башкортостан","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",999
"Республика Башкортостан","3_11","Установлено лиц из числа находившихся в розыске",1089
"Республика Башкортостан","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",909
"Республика Башкортостан","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",172
"Республика Башкортостан","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",289
"Республика Башкортостан","3_11","Всего прекращено дел в связи с установлением личности",29
"Республика Башкортостан","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-40.18126888
"Республика Башкортостан","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-8.505747126
"Республика Марий Эл","3_11","Всего разыскивалось лиц",706
"Республика Марий Эл","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",306
"Республика Марий Эл","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",397
"Республика Марий Эл","3_11","Установлено лиц из числа находившихся в розыске",449
"Республика Марий Эл","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",213
"Республика Марий Эл","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",233
"Республика Марий Эл","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",74
"Республика Марий Эл","3_11","Всего прекращено дел в связи с установлением личности",13
"Республика Марий Эл","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-53.43915344
"Республика Марий Эл","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-7.558139535
"Республика Мордовия","3_11","Всего разыскивалось лиц",817
"Республика Мордовия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",452
"Республика Мордовия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",353
"Республика Мордовия","3_11","Установлено лиц из числа находившихся в розыске",484
"Республика Мордовия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",281
"Республика Мордовия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",192
"Республика Мордовия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",72
"Республика Мордовия","3_11","Всего прекращено дел в связи с установлением личности",10
"Республика Мордовия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-25.83732057
"Республика Мордовия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",3.401360544
"Республика Татарстан","3_11","Всего разыскивалось лиц",6197
"Республика Татарстан","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2092
"Республика Татарстан","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",4052
"Республика Татарстан","3_11","Установлено лиц из числа находившихся в розыске",4720
"Республика Татарстан","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1304
"Республика Татарстан","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",3378
"Республика Татарстан","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",147
"Республика Татарстан","3_11","Всего прекращено дел в связи с установлением личности",14
"Республика Татарстан","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-26.45875252
"Республика Татарстан","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-15.51724138
"Удмуртская Республика","3_11","Всего разыскивалось лиц",1326
"Удмуртская Республика","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",767
"Удмуртская Республика","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",484
"Удмуртская Республика","3_11","Установлено лиц из числа находившихся в розыске",657
"Удмуртская Республика","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",521
"Удмуртская Республика","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",73
"Удмуртская Республика","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",73
"Удмуртская Республика","3_11","Всего прекращено дел в связи с установлением личности",12
"Удмуртская Республика","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-29.10662824
"Удмуртская Республика","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-10.58558559
"Чувашская Республика","3_11","Всего разыскивалось лиц",1134
"Чувашская Республика","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",914
"Чувашская Республика","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",218
"Чувашская Республика","3_11","Установлено лиц из числа находившихся в розыске",676
"Чувашская Республика","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",627
"Чувашская Республика","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",47
"Чувашская Республика","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",60
"Чувашская Республика","3_11","Всего прекращено дел в связи с установлением личности",10
"Чувашская Республика","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-38.90160183
"Чувашская Республика","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-0.609756098
"Кировская область","3_11","Всего разыскивалось лиц",2920
"Кировская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",861
"Кировская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1603
"Кировская область","3_11","Установлено лиц из числа находившихся в розыске",2211
"Кировская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",616
"Кировская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1140
"Кировская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",97
"Кировская область","3_11","Всего прекращено дел в связи с установлением личности",38
"Кировская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-27.33118971
"Кировская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-7.203389831
"Нижегородская область","3_11","Всего разыскивалось лиц",2782
"Нижегородская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1405
"Нижегородская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1329
"Нижегородская область","3_11","Установлено лиц из числа находившихся в розыске",1158
"Нижегородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",874
"Нижегородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",249
"Нижегородская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",415
"Нижегородская область","3_11","Всего прекращено дел в связи с установлением личности",115
"Нижегородская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-46.8487395
"Нижегородская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-13.01824212
"Оренбургская область","3_11","Всего разыскивалось лиц",1156
"Оренбургская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",675
"Оренбургская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",481
"Оренбургская область","3_11","Установлено лиц из числа находившихся в розыске",392
"Оренбургская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",320
"Оренбургская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",72
"Оренбургская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",102
"Оренбургская область","3_11","Всего прекращено дел в связи с установлением личности",25
"Оренбургская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-56.56697009
"Оренбургская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-34.64163823
"Пензенская область","3_11","Всего разыскивалось лиц",850
"Пензенская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",403
"Пензенская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",444
"Пензенская область","3_11","Установлено лиц из числа находившихся в розыске",289
"Пензенская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",213
"Пензенская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",75
"Пензенская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",222
"Пензенская область","3_11","Всего прекращено дел в связи с установлением личности",11
"Пензенская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-31.20300752
"Пензенская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-8.288770053
"Пермский край","3_11","Всего разыскивалось лиц",3700
"Пермский край","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2436
"Пермский край","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1107
"Пермский край","3_11","Установлено лиц из числа находившихся в розыске",1997
"Пермский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1616
"Пермский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",282
"Пермский край","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",255
"Пермский край","3_11","Всего прекращено дел в связи с установлением личности",47
"Пермский край","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-38.64930838
"Пермский край","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-44.47876448
"Самарская область","3_11","Всего разыскивалось лиц",3124
"Самарская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1818
"Самарская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",999
"Самарская область","3_11","Установлено лиц из числа находившихся в розыске",1589
"Самарская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1014
"Самарская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",290
"Самарская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",492
"Самарская область","3_11","Всего прекращено дел в связи с установлением личности",74
"Самарская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-50.80906149
"Самарская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-16.74876847
"Саратовская область","3_11","Всего разыскивалось лиц",3255
"Саратовская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1722
"Саратовская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1391
"Саратовская область","3_11","Установлено лиц из числа находившихся в розыске",1950
"Саратовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1015
"Саратовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",802
"Саратовская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",358
"Саратовская область","3_11","Всего прекращено дел в связи с установлением личности",133
"Саратовская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-14.9934811
"Саратовская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-9.206349206
"Ульяновская область","3_11","Всего разыскивалось лиц",775
"Ульяновская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",340
"Ульяновская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",413
"Ульяновская область","3_11","Установлено лиц из числа находившихся в розыске",248
"Ульяновская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",168
"Ульяновская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",60
"Ульяновская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",63
"Ульяновская область","3_11","Всего прекращено дел в связи с установлением личности",9
"Ульяновская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-24.77477477
"Ульяновская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",158.3333333
"Уральский фед.округ","3_11","Всего разыскивалось лиц",13402
"Уральский фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",8838
"Уральский фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",4403
"Уральский фед.округ","3_11","Установлено лиц из числа находившихся в розыске",5799
"Уральский фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",4967
"Уральский фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",686
"Уральский фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",2017
"Уральский фед.округ","3_11","Всего прекращено дел в связи с установлением личности",270
"Уральский фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-38.37052062
"Уральский фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-5.327325735
"Курганская область","3_11","Всего разыскивалось лиц",1040
"Курганская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",647
"Курганская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",380
"Курганская область","3_11","Установлено лиц из числа находившихся в розыске",434
"Курганская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",367
"Курганская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",55
"Курганская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",169
"Курганская область","3_11","Всего прекращено дел в связи с установлением личности",22
"Курганская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-41.80138568
"Курганская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-9.195402299
"Свердловская область","3_11","Всего разыскивалось лиц",4618
"Свердловская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2748
"Свердловская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1800
"Свердловская область","3_11","Установлено лиц из числа находившихся в розыске",1759
"Свердловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1337
"Свердловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",355
"Свердловская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",691
"Свердловская область","3_11","Всего прекращено дел в связи с установлением личности",37
"Свердловская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-44.65136423
"Свердловская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-5.813953488
"Тюменская область (с а/о)","3_11","Всего разыскивалось лиц",4322
"Тюменская область (с а/о)","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",3071
"Тюменская область (с а/о)","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1237
"Тюменская область (с а/о)","3_11","Установлено лиц из числа находившихся в розыске",1727
"Тюменская область (с а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1631
"Тюменская область (с а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",85
"Тюменская область (с а/о)","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",598
"Тюменская область (с а/о)","3_11","Всего прекращено дел в связи с установлением личности",42
"Тюменская область (с а/о)","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-29.68357609
"Тюменская область (с а/о)","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-8.305369128
"  Тюменская обл. (без а/о)","3_11","Всего разыскивалось лиц",1567
"  Тюменская обл. (без а/о)","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1049
"  Тюменская обл. (без а/о)","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",517
"  Тюменская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске",618
"  Тюменская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",576
"  Тюменская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",42
"  Тюменская обл. (без а/о)","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",466
"  Тюменская обл. (без а/о)","3_11","Всего прекращено дел в связи с установлением личности",16
"  Тюменская обл. (без а/о)","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-33.80480905
"  Тюменская обл. (без а/о)","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-10.09708738
"  Ханты-Мансийский АО - Югра","3_11","Всего разыскивалось лиц",1967
"  Ханты-Мансийский АО - Югра","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1461
"  Ханты-Мансийский АО - Югра","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",494
"  Ханты-Мансийский АО - Югра","3_11","Установлено лиц из числа находившихся в розыске",864
"  Ханты-Мансийский АО - Югра","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",827
"  Ханты-Мансийский АО - Югра","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",27
"  Ханты-Мансийский АО - Югра","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",77
"  Ханты-Мансийский АО - Югра","3_11","Всего прекращено дел в связи с установлением личности",21
"  Ханты-Мансийский АО - Югра","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-33.58449946
"  Ханты-Мансийский АО - Югра","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-6.666666667
"  Ямало-Ненецкий АО","3_11","Всего разыскивалось лиц",788
"  Ямало-Ненецкий АО","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",561
"  Ямало-Ненецкий АО","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",226
"  Ямало-Ненецкий АО","3_11","Установлено лиц из числа находившихся в розыске",245
"  Ямало-Ненецкий АО","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",228
"  Ямало-Ненецкий АО","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",16
"  Ямало-Ненецкий АО","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",55
"  Ямало-Ненецкий АО","3_11","Всего прекращено дел в связи с установлением личности",5
"  Ямало-Ненецкий АО","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-11.26760563
"  Ямало-Ненецкий АО","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-7.547169811
"Челябинская область","3_11","Всего разыскивалось лиц",3422
"Челябинская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2372
"Челябинская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",986
"Челябинская область","3_11","Установлено лиц из числа находившихся в розыске",1879
