"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - сентябрь 2015 г.)"
"Приволжский фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",3696
"Приволжский фед.округ","3_11","Всего прекращено дел в связи с установлением личности",796
"Приволжский фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-36.47887324
"Приволжский фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-6.353933979
"Республика Башкортостан","3_11","Всего разыскивалось лиц",2679
"Республика Башкортостан","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1607
"Республика Башкортостан","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1047
"Республика Башкортостан","3_11","Установлено лиц из числа находившихся в розыске",1195
"Республика Башкортостан","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1000
"Республика Башкортостан","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",187
"Республика Башкортостан","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",299
"Республика Башкортостан","3_11","Всего прекращено дел в связи с установлением личности",36
"Республика Башкортостан","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-39.87915408
"Республика Башкортостан","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-3.563218391
"Республика Марий Эл","3_11","Всего разыскивалось лиц",674
"Республика Марий Эл","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",329
"Республика Марий Эл","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",339
"Республика Марий Эл","3_11","Установлено лиц из числа находившихся в розыске",408
"Республика Марий Эл","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",231
"Республика Марий Эл","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",172
"Республика Марий Эл","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",95
"Республика Марий Эл","3_11","Всего прекращено дел в связи с установлением личности",18
"Республика Марий Эл","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-48.67724868
"Республика Марий Эл","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-7.558139535
"Республика Мордовия","3_11","Всего разыскивалось лиц",856
"Республика Мордовия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",478
"Республика Мордовия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",339
"Республика Мордовия","3_11","Установлено лиц из числа находившихся в розыске",514
"Республика Мордовия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",292
"Республика Мордовия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",183
"Республика Мордовия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",82
"Республика Мордовия","3_11","Всего прекращено дел в связи с установлением личности",10
"Республика Мордовия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-14.35406699
"Республика Мордовия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",3.401360544
"Республика Татарстан","3_11","Всего разыскивалось лиц",5273
"Республика Татарстан","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1881
"Республика Татарстан","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3359
"Республика Татарстан","3_11","Установлено лиц из числа находившихся в розыске",3745
"Республика Татарстан","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1099
"Республика Татарстан","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",2628
"Республика Татарстан","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",167
"Республика Татарстан","3_11","Всего прекращено дел в связи с установлением личности",14
"Республика Татарстан","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-25.15090543
"Республика Татарстан","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-10.47745358
"Удмуртская Республика","3_11","Всего разыскивалось лиц",1301
"Удмуртская Республика","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",730
"Удмуртская Республика","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",518
"Удмуртская Республика","3_11","Установлено лиц из числа находившихся в розыске",618
"Удмуртская Республика","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",492
"Удмуртская Республика","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",85
"Удмуртская Республика","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",98
"Удмуртская Республика","3_11","Всего прекращено дел в связи с установлением личности",17
"Удмуртская Республика","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-33.42939481
"Удмуртская Республика","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-8.108108108
"Чувашская Республика","3_11","Всего разыскивалось лиц",1128
"Чувашская Республика","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",913
"Чувашская Республика","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",210
"Чувашская Республика","3_11","Установлено лиц из числа находившихся в розыске",680
"Чувашская Республика","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",632
"Чувашская Республика","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",44
"Чувашская Республика","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",58
"Чувашская Республика","3_11","Всего прекращено дел в связи с установлением личности",9
"Чувашская Республика","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-36.84210526
"Чувашская Республика","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",0
"Кировская область","3_11","Всего разыскивалось лиц",3677
"Кировская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1037
"Кировская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",2255
"Кировская область","3_11","Установлено лиц из числа находившихся в розыске",2968
"Кировская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",795
"Кировская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1792
"Кировская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",286
"Кировская область","3_11","Всего прекращено дел в связи с установлением личности",126
"Кировская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-22.50803859
"Кировская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-5.508474576
"Нижегородская область","3_11","Всего разыскивалось лиц",2968
"Нижегородская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1481
"Нижегородская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1445
"Нижегородская область","3_11","Установлено лиц из числа находившихся в розыске",1270
"Нижегородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",944
"Нижегородская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",292
"Нижегородская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",506
"Нижегородская область","3_11","Всего прекращено дел в связи с установлением личности",148
"Нижегородская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-43.90756303
"Нижегородская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-7.628524046
"Оренбургская область","3_11","Всего разыскивалось лиц",1270
"Оренбургская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",701
"Оренбургская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",569
"Оренбургская область","3_11","Установлено лиц из числа находившихся в розыске",446
"Оренбургская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",347
"Оренбургская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",99
"Оренбургская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",123
"Оренбургская область","3_11","Всего прекращено дел в связи с установлением личности",28
"Оренбургская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-55.26657997
"Оренбургская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-25.93856655
"Пензенская область","3_11","Всего разыскивалось лиц",913
"Пензенская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",452
"Пензенская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",456
"Пензенская область","3_11","Установлено лиц из числа находившихся в розыске",344
"Пензенская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",264
"Пензенская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",76
"Пензенская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",273
"Пензенская область","3_11","Всего прекращено дел в связи с установлением личности",24
"Пензенская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-31.20300752
"Пензенская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-2.941176471
"Пермский край","3_11","Всего разыскивалось лиц",3905
"Пермский край","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2393
"Пермский край","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1321
"Пермский край","3_11","Установлено лиц из числа находившихся в розыске",1868
"Пермский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1536
"Пермский край","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",210
"Пермский край","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",337
"Пермский край","3_11","Всего прекращено дел в связи с установлением личности",81
"Пермский край","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-33.44182262
"Пермский край","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-18.76447876
"Самарская область","3_11","Всего разыскивалось лиц",3626
"Самарская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1917
"Самарская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1280
"Самарская область","3_11","Установлено лиц из числа находившихся в розыске",1893
"Самарская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1030
"Самарская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",459
"Самарская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",877
"Самарская область","3_11","Всего прекращено дел в связи с установлением личности",96
"Самарская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-44.46601942
"Самарская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-1.231527094
"Саратовская область","3_11","Всего разыскивалось лиц",3422
"Саратовская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1675
"Саратовская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1591
"Саратовская область","3_11","Установлено лиц из числа находившихся в розыске",2160
"Саратовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1024
"Саратовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",987
"Саратовская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",421
"Саратовская область","3_11","Всего прекращено дел в связи с установлением личности",174
"Саратовская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-21.38200782
"Саратовская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-8.888888889
"Ульяновская область","3_11","Всего разыскивалось лиц",772
"Ульяновская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",324
"Ульяновская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",440
"Ульяновская область","3_11","Установлено лиц из числа находившихся в розыске",222
"Ульяновская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",160
"Ульяновская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",55
"Ульяновская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",74
"Ульяновская область","3_11","Всего прекращено дел в связи с установлением личности",15
"Ульяновская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-28.82882883
"Ульяновская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",175.7575758
"Уральский фед.округ","3_11","Всего разыскивалось лиц",14218
"Уральский фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",9457
"Уральский фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",4530
"Уральский фед.округ","3_11","Установлено лиц из числа находившихся в розыске",6394
"Уральский фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",5439
"Уральский фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",742
"Уральский фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",5164
"Уральский фед.округ","3_11","Всего прекращено дел в связи с установлением личности",392
"Уральский фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-34.49966193
"Уральский фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-2.517890273
"Курганская область","3_11","Всего разыскивалось лиц",1134
"Курганская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",719
"Курганская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",385
"Курганская область","3_11","Установлено лиц из числа находившихся в розыске",554
"Курганская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",461
"Курганская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",64
"Курганская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",191
"Курганская область","3_11","Всего прекращено дел в связи с установлением личности",11
"Курганская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-41.5704388
"Курганская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-10.91954023
"Свердловская область","3_11","Всего разыскивалось лиц",4709
"Свердловская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2881
"Свердловская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1761
"Свердловская область","3_11","Установлено лиц из числа находившихся в розыске",1702
"Свердловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1376
"Свердловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",262
"Свердловская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",3203
"Свердловская область","3_11","Всего прекращено дел в связи с установлением личности",61
"Свердловская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-38.24166306
"Свердловская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-0.615595075
"Тюменская область (с а/о)","3_11","Всего разыскивалось лиц",4536
"Тюменская область (с а/о)","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",3163
"Тюменская область (с а/о)","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1319
"Тюменская область (с а/о)","3_11","Установлено лиц из числа находившихся в розыске",1886
"Тюменская область (с а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1694
"Тюменская область (с а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",145
"Тюменская область (с а/о)","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",757
"Тюменская область (с а/о)","3_11","Всего прекращено дел в связи с установлением личности",52
"Тюменская область (с а/о)","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-28.17679558
"Тюменская область (с а/о)","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-5.536912752
"  Тюменская обл. (без а/о)","3_11","Всего разыскивалось лиц",1621
"  Тюменская обл. (без а/о)","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1067
"  Тюменская обл. (без а/о)","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",552
"  Тюменская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске",668
"  Тюменская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",597
"  Тюменская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",71
"  Тюменская обл. (без а/о)","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",606
"  Тюменская обл. (без а/о)","3_11","Всего прекращено дел в связи с установлением личности",24
"  Тюменская обл. (без а/о)","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-33.80480905
"  Тюменская обл. (без а/о)","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-8.737864078
"  Ханты-Мансийский АО - Югра","3_11","Всего разыскивалось лиц",2079
"  Ханты-Мансийский АО - Югра","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1497
"  Ханты-Мансийский АО - Югра","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",530
"  Ханты-Мансийский АО - Югра","3_11","Установлено лиц из числа находившихся в розыске",951
"  Ханты-Мансийский АО - Югра","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",857
"  Ханты-Мансийский АО - Югра","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",47
"  Ханты-Мансийский АО - Югра","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",78
"  Ханты-Мансийский АО - Югра","3_11","Всего прекращено дел в связи с установлением личности",20
"  Ханты-Мансийский АО - Югра","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-34.12271259
"  Ханты-Мансийский АО - Югра","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-3.010752688
"  Ямало-Ненецкий АО","3_11","Всего разыскивалось лиц",836
"  Ямало-Ненецкий АО","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",599
"  Ямало-Ненецкий АО","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",237
"  Ямало-Ненецкий АО","3_11","Установлено лиц из числа находившихся в розыске",267
"  Ямало-Ненецкий АО","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",240
"  Ямало-Ненецкий АО","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",27
"  Ямало-Ненецкий АО","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",73
"  Ямало-Ненецкий АО","3_11","Всего прекращено дел в связи с установлением личности",8
"  Ямало-Ненецкий АО","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-1.408450704
"  Ямало-Ненецкий АО","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-3.301886792
"Челябинская область","3_11","Всего разыскивалось лиц",3839
"Челябинская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2694
"Челябинская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1065
"Челябинская область","3_11","Установлено лиц из числа находившихся в розыске",2252
"Челябинская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1908
"Челябинская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",271
"Челябинская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",1013
"Челябинская область","3_11","Всего прекращено дел в связи с установлением личности",268
"Челябинская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-35.24936602
"Челябинская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",2.33463035
"Сибирский фед.округ","3_11","Всего разыскивалось лиц",33982
"Сибирский фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",16358
"Сибирский фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",16003
"Сибирский фед.округ","3_11","Установлено лиц из числа находившихся в розыске",21010
"Сибирский фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",10278
"Сибирский фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",9238
"Сибирский фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",5023
"Сибирский фед.округ","3_11","Всего прекращено дел в связи с установлением личности",901
"Сибирский фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-30.89005236
"Сибирский фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-3.770224135
"Республика Алтай","3_11","Всего разыскивалось лиц",264
"Республика Алтай","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",174
"Республика Алтай","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",89
"Республика Алтай","3_11","Установлено лиц из числа находившихся в розыске",166
"Республика Алтай","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",136
"Республика Алтай","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",30
"Республика Алтай","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",21
